accountNumber,bankName,,branchCountry,accountNumberType,name1AndName2,comments
GB57BARC20035361427618,Clydesdale Bank,,      GB ,iban,"Fivespan Shanahan-Tremblay GOJ ustries, Inc.",b'Id   sed aliquam   '
725729324,Standard Chartered Bank,,ID,unstructured,"Quimm Kerluke, Abernathy and H t Rx Pak Division of",b'Velit lectus turpis  ne'
GB89BARC20035369719378,Bank of England,,FI,iban,Yabox Funk-Casper Rij Pharmace l Corporation,b'Mi adipiscing sed massa in sit'
GB57BARC20039589728816,Royal Bank of Scotland (RBS),,CN,iban,Zoonoodle Wisoky-Bauch Ameriso Bergen,b'Bibendum diam nec auctor  d'
GB86BARC20040468129642,HSBC Bank,,GB,iban,Realmix Trantow-Kuvalis BluePo aboratories,b'Enim in  gravida quis ac '
90-12-613367219,Santander Bank,,JP,gbDomestic,Thoughtworks Roob-Lindgren Wal Stores Inc,"b'Ipsum, vel, quis duis magna du'"
60910417068859,Bank of Ireland,,GB,gbDomestic,"Yombu Gibson-Ortiz WOONSOCKET  RIPTION CENTER,INCOR",b'Sit cursus dapibus   '
80054170328725,National Westminster Bank (NatWest),,GB,gbDomestic,Shufflebeat Ziemann and Sons S X USA LLC,b' morbi  vehicula l'
10-00-0031510604,Barclays Bank,,GB,gbDomestic,Dabvine Macejkovic-Bailey Card Health,b'Gravida habitasse odio curabit'
GB89BARC20035369719378,Citibank,,GB,iban,Yakidoo Bartoletti-Douglas REM PACK INC.,"b'Rhoncus, semper rhoncus vestib'"
800551813796,Standard Chartered Bank,,CZ,gbDomestic,Demizz Sipes-Prohaska Energize sonal Care LLC,b'Eget molestie accumsan  i'
878065199,Bank of England,, GB,unstructured,Fatz Durgan-Haley Neutrogena C ation,"b'Pretium,  sit semper biben'"
588351422,Santander Bank,, DE,unstructured,Devify Reichert Group Family D ,b'Id proin  condimentum  u'
20005275849855,Royal Bank of Scotland (RBS),,CN,gbDomestic,"Miboo Botsford-Hoeger Aptalis  a US, Inc","b'Vulputate blandit eget et, adi'"
GB86BARC20040468129642,Clydesdale Bank,,ID,iban,Dabtype Barton-Williamson RECE ARM INC,b'Risus pulvinar tristique maece'
384102267,Bank of Scotland,,PK,unstructured,"Leexo Leuschke, Crooks and Van rt Kinray",b'Luctus at cursus  vulputate'
40051512345674,Lloyds TSB Bank,,VE,gbDomestic,"Zoomlounge Blanda, Rutherford  rnser Rite Aid Corpo",b'Volutpat in egestas ullamcorpe'
30-94-931273801,The Co,,operative Bank,gbDomestic,Camimbo Sanford-Kassulke Mylan itutional Inc.,b'Augue cursus tellus egestas ne'
60092067037135,Bank of Ireland,,    GB,gbDomestic,"Mynte Kuvalis-Hahn General Inj les & Vaccines, Inc",b'Blandit turpis ultrices facili'
131340487,Nationwide Building Society,,RU,unstructured,Skibox Barton-O'Conner REMEDYR INC.,"b'  sed vitae libero, sit ne'"
GB15BARC20038046272653,Bank of Ireland,,CO,iban,Eabox Zieme-MacGyver Nordan Sm elding Supply,b'Sit amet      '
629962510,Lloyds TSB Bank,,BR,unstructured,Blognation Kirlin Inc Unit Dos vices,b'Dictum augue egestas eget elei'
18500812098709,Barclays Bank,,PH,gbDomestic,Devpoint Johnson Inc McKesson #VALUE!,b'Quis nulla mus eu adipiscing n'
82663220400952,National Westminster Bank (NatWest),,US,gbDomestic,"Browsedrive Rice, Stark and Ra e Erie Medical & Sur",b'Et suspendisse  id eget fri'
608088321,Standard Chartered Bank,,HR                      ,unstructured,Zooveo Hartmann-Goldner Hospir c.,"b'Lectus donec ut  et nec, semp'"
282360678,Barclays Bank,,TZ,unstructured,"Feedspan Cassin, Halvorson and strom Par Pharmaceut",b'Cras  in   arcu vel in.'
